/* DATA DESCRIPTION:
THIS IS PRELIMINARY RAW DATA! DO NOT USE IN PUBLICATIONS!
FOR PUBLICATIONS VISIT WWW.PANGAEA.DE TO FIND THE VALIDATED DATASET!
Institution: Alfred Wegener Institut, Helmholtz Center for Polar and Marine Research
Station name: DBLK
WMO ID: 00067
PI: Holger Schmithüsen [holger.schmithuesen@awi.de]
Operator: Juliane Hempelt
Cruise: PS113


Coverage:	LATITUDE: -48.73907 * LONGITUDE: -62.15592
	DATE/TIME START: 2018-05-10T11:22:58 * DATE/TIME END: 2018-05-10T13:03:33
	MINIMUM ALTITUDE: 10m * MAXIMUM ALTITUDE: 30081m
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
10	1001.56	10.60	86.0	273	7.6
14	1001.10	10.71	85.4	264	7.7
19	1000.46	10.76	85.0	259	7.9
25	999.81	10.76	84.9	257	8.1
30	999.17	10.84	84.8	256	8.2
35	998.56	10.99	84.4	257	8.3
40	997.96	11.14	83.9	257	8.4
45	997.37	11.27	83.3	257	8.6
50	996.78	11.41	82.7	257	8.7
55	996.19	11.54	81.9	256	8.9
60	995.56	11.65	81.1	256	9.0
66	994.88	11.71	80.4	255	9.2
72	994.22	11.72	79.9	255	9.4
77	993.59	11.75	79.4	254	9.5
82	992.97	11.83	78.7	253	9.7
87	992.33	11.93	77.9	252	9.9
93	991.65	12.00	77.2	251	10.1
99	990.97	12.05	76.6	250	10.2
105	990.27	12.11	75.9	249	10.4
110	989.60	12.21	75.2	248	10.6
116	989.00	12.29	74.5	247	10.8
120	988.44	12.34	73.9	246	11.0
125	987.86	12.35	73.5	245	11.1
131	987.21	12.36	73.1	244	11.3
136	986.54	12.39	72.7	243	11.5
142	985.93	12.50	72.0	242	11.7
146	985.37	12.71	71.0	241	11.9
151	984.82	12.96	69.8	241	12.0
156	984.24	13.16	68.7	240	12.2
161	983.61	13.27	67.7	239	12.3
167	982.98	13.33	66.9	239	12.5
172	982.41	13.44	66.1	238	12.6
177	981.86	13.68	64.9	238	12.7
182	981.27	14.12	63.1	237	12.8
187	980.64	14.66	60.9	237	12.9
193	980.00	15.08	58.8	237	13.0
198	979.34	15.34	57.2	237	13.1
204	978.70	15.51	55.9	236	13.1
209	978.12	15.64	54.9	236	13.2
213	977.60	15.73	54.1	236	13.2
218	977.09	15.78	53.3	236	13.2
222	976.57	15.80	52.8	236	13.2
227	976.04	15.79	52.4	236	13.3
231	975.54	15.79	52.1	236	13.3
235	975.08	15.78	52.0	236	13.3
239	974.61	15.76	51.9	236	13.2
243	974.13	15.74	51.8	236	13.2
248	973.65	15.72	51.8	236	13.2
252	973.17	15.71	51.7	236	13.2
256	972.72	15.70	51.7	236	13.2
259	972.31	15.69	51.7	236	13.2
263	971.89	15.68	51.7	236	13.2
267	971.42	15.66	51.8	236	13.1
272	970.89	15.63	51.9	236	13.1
277	970.34	15.59	51.9	236	13.1
281	969.78	15.57	52.0	236	13.1
286	969.23	15.55	52.1	236	13.1
291	968.70	15.53	52.2	236	13.1
295	968.21	15.53	52.3	236	13.1
300	967.71	15.52	52.3	235	13.1
304	967.16	15.51	52.3	235	13.1
310	966.55	15.49	52.3	235	13.1
315	965.90	15.46	52.4	235	13.1
321	965.26	15.42	52.4	235	13.1
326	964.66	15.37	52.5	235	13.0
331	964.10	15.33	52.5	235	13.0
336	963.53	15.29	52.6	235	13.0
341	962.97	15.25	52.6	235	13.0
346	962.41	15.22	52.7	236	13.0
351	961.82	15.18	52.7	236	13.0
357	961.22	15.14	52.8	236	12.9
